entidad_federativa,categoria_manejo,nombre_anp,suma_superficie_dentro_entidad
Aguascalientes,APRN,C.A.D.N.R. 001 Pabellón,57980
Aguascalientes,APRN,C.A.D.N.R. 043 Estado de Nayarit,65861
Baja California,APFF,Islas del Golfo de California,109742
Baja California,APFF,Valle de los Cirios,2521988
Baja California,PN,Constitución de 1857,5009
Baja California,PN,San Quintín,86
Baja California,PN,Sierra de San Pedro Mártir,72911
Baja California,RB,Alto Golfo de California y Delta del Río Colorado,193461
Baja California,RB,Complejo Lagunar Ojo de Liebre,12058
Baja California,RB,El Vizcaíno,69295
Baja California,RB,Isla Guadalupe,24405
Baja California,RB,Isla San Pedro Mártir,134
Baja California,RB,Islas del Pacífico de la Península de Baja California,13790
Baja California,RB,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",521
Baja California Sur,APFF,Balandra,1326
Baja California Sur,APFF,Cabo San Lucas,195
Baja California Sur,APFF,Islas del Golfo de California,67585
Baja California Sur,PN,Bahía de Loreto,21167
Baja California Sur,PN,Cabo Pulmo,39
Baja California Sur,PN,Loreto II,6218
Baja California Sur,PN,Nopoló,2077
Baja California Sur,RB,Complejo Lagunar Ojo de Liebre,65978
Baja California Sur,RB,El Vizcaíno,2259003
Baja California Sur,RB,Islas del Pacífico de la Península de Baja California,56350
Baja California Sur,RB,Sierra La Laguna,111286
Campeche,APFF,Bala'an K'aax,13155
Campeche,APFF,Balam Kin,115658
Campeche,APFF,Laguna de Términos,541874
Campeche,PN,Nuevo Uxmal,154
Campeche,RB,Balam Kú,463442
Campeche,RB,Calakmul,728909
Campeche,RB,Los Petenes,100020
Campeche,RB,Pantanos de Centla,15093
Campeche,RB,Ría Celestún,23246
Campeche,SANT,Playa Chenkan,40
Chiapas,APFF,Cascada de Agua Azul,2546
Chiapas,APFF,Chan-Kin,12185
Chiapas,APFF,Humedales de Montaña La Kisst y María Eugenia,216
Chiapas,APFF,Metzabok,3368
Chiapas,APFF,Nahá,3847
Chiapas,APRN,La Concordia,177546
Chiapas,MN,Bonampak,4357
Chiapas,MN,Yaxchilán,2621
Chiapas,PN,Cañón del Sumidero,21789
Chiapas,PN,Lagunas de Montebello,6546
Chiapas,PN,Palenque,1772
Chiapas,RB,El Triunfo,119177
Chiapas,RB,La Encrucijada,115653
Chiapas,RB,La Sepultura,167310
Chiapas,RB,Lacan-Tun,61874
Chiapas,RB,Montes Azules,331200
Chiapas,RB,Selva El Ocote,101288
Chiapas,RB,Volcán Tacaná,6378
Chiapas,SANT,Playa Puerto Arista,727
Chihuahua,APFF,Campo Verde,97310
Chihuahua,APFF,Cañón de Santa Elena,277210
Chihuahua,APFF,Cerro Mohinora,9042
Chihuahua,APFF,Médanos de Samalayuca,56134
Chihuahua,APFF,Ocampo,666
