id_vegetacion,tipo_vegetacion,superficie,porcentaje
1,Selva Perennifolia,"2,221,171.21",2.37
2,Bosque Mesófilo de Montaña,"284,669.00",0.30
3,Bosque de Encino,"2,481,197.00",2.64
4,Otros tipos de vegetación,"1,873,799.01",2.00
5,Matorral Xerófilo,"8,007,039.00",8.53
6,Pastizal,"676,975.00",0.72
7,Selva Caducifolia,"1,949,236.00",2.08
8,Agroecosistemas,"1,145,131.00",1.22
9,Manglar,"472,274.00",0.50
10,Bosque de Coníferas,"2,321,581.00",2.47
11,Vegetación Hidrófila,"764,664.54",0.81
12,Sin Vegetación aparente,"868,870.24",0.93
13,Mar Territorial,"70,794,424.00",75.42
